date,areaName,areaCode,newCasesBySpecimenDate,cumCasesBySpecimenDate,newCasesByPublishDate,cumDailyNsoDeathsByDeathDate,hospitalCases
2021-12-09,England,E92000001,,,43550,,6130
2021-12-08,England,E92000001,10154,9043108,44019,,6053
2021-12-07,England,E92000001,35127,9032954,38866,,6027
2021-12-06,England,E92000001,45753,8997827,41525,,5992
2021-12-05,England,E92000001,33513,8952074,37396,,5903
2021-12-04,England,E92000001,32018,8918561,39949,,5784
2021-12-03,England,E92000001,37937,8886543,43888,,5851
2021-12-02,England,E92000001,41793,8848606,45880,,5915
2021-12-01,England,E92000001,45884,8806813,41519,,5829
2021-11-30,England,E92000001,46380,8760929,33590,,6123
2021-11-29,England,E92000001,46556,8714549,34906,,6094
2021-11-28,England,E92000001,33018,8667993,32136,,5890
2021-11-27,England,E92000001,27764,8634975,35798,,5852
2021-11-26,England,E92000001,32856,8607211,42272,146563,5992
2021-11-25,England,E92000001,36215,8574355,40382,146509,6068
2021-11-24,England,E92000001,38887,8538140,36511,146424,6062
2021-11-23,England,E92000001,40076,8499253,36550,146345,6257
2021-11-22,England,E92000001,41895,8459177,36478,146251,6424
2021-11-21,England,E92000001,31040,8417282,33513,146168,6322
2021-11-20,England,E92000001,29209,8386242,36339,146082,6191
2021-11-19,England,E92000001,32461,8357033,37006,145988,6310
2021-11-18,England,E92000001,36227,8324572,39315,145891,6336
2021-11-17,England,E92000001,37422,8288345,30638,145796,6412
2021-11-16,England,E92000001,37682,8250923,30853,145708,6623
2021-11-15,England,E92000001,41520,8213241,31440,145584,6864
2021-11-14,England,E92000001,28906,8171721,29404,145460,6707
2021-11-13,England,E92000001,26799,8142815,33493,145361,6639
2021-11-12,England,E92000001,30563,8116016,33155,145249,6777
2021-11-11,England,E92000001,32901,8085453,35472,145151,6861
2021-11-10,England,E92000001,34559,8052552,31541,145034,6961
2021-11-09,England,E92000001,33885,8017993,27872,144910,7053
2021-11-08,England,E92000001,35284,7984108,24979,144785,7075
2021-11-07,England,E92000001,24879,7948824,23779,144662,6910
2021-11-06,England,E92000001,22059,7923945,26250,144548,6874
2021-11-05,England,E92000001,23833,7901886,28490,144417,7072
2021-11-04,England,E92000001,26073,7878053,30166,144296,7201
2021-11-03,England,E92000001,28426,7851980,34317,144169,7291
2021-11-02,England,E92000001,30418,7823554,28531,144041,7510
2021-11-01,England,E92000001,36747,7793136,32081,143916,7535
2021-10-31,England,E92000001,28899,7756389,31479,143777,7311
2021-10-30,England,E92000001,27683,7727490,36204,143634,7155
2021-10-29,England,E92000001,33264,7699807,36853,143516,7113
2021-10-28,England,E92000001,34355,7666543,33903,143389,7019
2021-10-27,England,E92000001,35766,7632188,37502,143238,6951
2021-10-26,England,E92000001,34548,7596422,32280,143105,6883
