date,areaName,areaCode,newCasesBySpecimenDate,cumCasesBySpecimenDate,newCasesByPublishDate,cumDailyNsoDeathsByDeathDate,hospitalCases
2021-12-09,Exeter,E07000041,,,129,,
2021-12-08,Exeter,E07000041,39,18484,93,,
2021-12-07,Exeter,E07000041,95,18445,133,,
2021-12-06,Exeter,E07000041,111,18350,106,,
2021-12-05,Exeter,E07000041,110,18239,106,,
2021-12-04,Exeter,E07000041,125,18129,123,,
2021-12-03,Exeter,E07000041,112,18004,155,,
2021-12-02,Exeter,E07000041,139,17892,127,,
2021-12-01,Exeter,E07000041,126,17753,128,,
2021-11-30,Exeter,E07000041,129,17627,119,,
2021-11-29,Exeter,E07000041,160,17498,110,,
2021-11-28,Exeter,E07000041,123,17338,76,,
2021-11-27,Exeter,E07000041,88,17215,107,,
2021-11-26,Exeter,E07000041,83,17127,105,,
2021-11-25,Exeter,E07000041,109,17044,110,,
2021-11-24,Exeter,E07000041,108,16935,141,,
2021-11-23,Exeter,E07000041,127,16827,93,,
2021-11-22,Exeter,E07000041,103,16700,90,,
2021-11-21,Exeter,E07000041,72,16597,106,,
2021-11-20,Exeter,E07000041,100,16525,74,,
2021-11-19,Exeter,E07000041,86,16425,108,,
2021-11-18,Exeter,E07000041,90,16339,133,,
2021-11-17,Exeter,E07000041,130,16249,82,,
2021-11-16,Exeter,E07000041,126,16119,107,,
2021-11-15,Exeter,E07000041,96,15993,81,,
2021-11-14,Exeter,E07000041,98,15897,83,,
2021-11-13,Exeter,E07000041,70,15799,93,,
2021-11-12,Exeter,E07000041,85,15729,87,,
2021-11-11,Exeter,E07000041,104,15644,85,,
2021-11-10,Exeter,E07000041,86,15540,100,,
2021-11-09,Exeter,E07000041,97,15454,83,,
2021-11-08,Exeter,E07000041,106,15357,76,,
2021-11-07,Exeter,E07000041,66,15251,76,,
2021-11-06,Exeter,E07000041,81,15185,61,,
2021-11-05,Exeter,E07000041,68,15104,84,,
2021-11-04,Exeter,E07000041,59,15036,65,,
2021-11-03,Exeter,E07000041,81,14977,83,,
2021-11-02,Exeter,E07000041,68,14896,57,,
2021-11-01,Exeter,E07000041,83,14828,67,,
2021-10-31,Exeter,E07000041,63,14745,85,,
2021-10-30,Exeter,E07000041,52,14682,97,,
2021-10-29,Exeter,E07000041,97,14630,75,,
2021-10-28,Exeter,E07000041,93,14533,91,,
2021-10-27,Exeter,E07000041,88,14440,75,,
2021-10-26,Exeter,E07000041,85,14352,73,,
2021-10-25,Exeter,E07000041,84,14267,53,,
2021-10-24,Exeter,E07000041,52,14183,91,,
2021-10-23,Exeter,E07000041,61,14131,97,,
2021-10-22,Exeter,E07000041,82,14070,79,,
2021-10-21,Exeter,E07000041,88,13988,72,,
2021-10-20,Exeter,E07000041,102,13900,83,,
2021-10-19,Exeter,E07000041,69,13798,80,,
2021-10-18,Exeter,E07000041,104,13729,80,,
2021-10-17,Exeter,E07000041,73,13625,62,,
2021-10-16,Exeter,E07000041,59,13552,71,,
2021-10-15,Exeter,E07000041,54,13493,45,,
2021-10-14,Exeter,E07000041,67,13439,59,,
2021-10-13,Exeter,E07000041,46,13372,56,,
2021-10-12,Exeter,E07000041,64,13326,82,,
2021-10-11,Exeter,E07000041,74,13262,52,,
2021-10-10,Exeter,E07000041,71,13188,63,,
2021-10-09,Exeter,E07000041,43,13117,65,,
2021-10-08,Exeter,E07000041,75,13074,64,,
2021-10-07,Exeter,E07000041,64,12999,61,,
2021-10-06,Exeter,E07000041,55,12935,64,,
2021-10-05,Exeter,E07000041,59,12880,73,,
2021-10-04,Exeter,E07000041,81,12821,56,,
2021-10-03,Exeter,E07000041,79,12740,38,,
2021-10-02,Exeter,E07000041,41,12661,56,,
2021-10-01,Exeter,E07000041,44,12620,69,,
2021-09-30,Exeter,E07000041,53,12576,43,,
2021-09-29,Exeter,E07000041,54,12523,80,,
2021-09-28,Exeter,E07000041,72,12469,58,,
